venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Busch Stadium,St. Louis Cardinals,Slider,SL,11,up and left outside the strike zone,R,140,24,112,4,1,0,0,0,0,1,1,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,13,low and left outside the strike zone,L,138,20,108,8,0,0,0,0,0,0,7,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,12,up and right outside the strike zone,R,136,32,99,5,0,1,0,1,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,12,up and right outside the strike zone,R,131,26,88,17,5,1,0,0,0,0,10,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,7,lower left inside the strike zone,R,131,89,14,28,8,2,0,1,0,0,15,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,13,low and left outside the strike zone,L,130,6,117,7,1,1,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,11,up and left outside the strike zone,R,129,16,104,9,4,1,0,1,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,5,middle middle inside the strike zone,L,124,81,0,43,7,3,0,1,0,0,32,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,4,middle left inside the strike zone,R,114,77,1,36,6,2,0,3,0,0,23,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,4,middle left inside the strike zone,L,113,70,1,42,8,1,0,2,0,1,28,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,5,middle middle inside the strike zone,R,111,60,0,51,12,1,0,1,0,1,33,2,0,0,0,1,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,5,middle middle inside the strike zone,R,110,71,0,39,6,2,0,2,0,0,26,1,0,0,1,0,1
Busch Stadium,St. Louis Cardinals,Changeup,CH,8,lower middle inside the strike zone,R,107,72,2,33,6,1,0,1,0,0,25,0,0,0,0,0,0
