venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Truist Park,Atlanta Braves,Four-seam fastball,FF,1,upper left inside the strike zone,L,166,113,21,32,11,2,0,1,0,0,14,2,1,1,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,13,low and left outside the strike zone,R,159,65,77,16,4,1,0,0,0,0,5,3,0,0,3,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,7,lower left inside the strike zone,R,157,116,7,34,5,2,0,1,0,0,23,3,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,3,upper right inside the strike zone,L,153,108,19,26,6,4,0,0,0,1,14,0,0,0,1,0,0
Truist Park,Atlanta Braves,Sinker,SI,14,low and right outside the strike zone,L,149,52,78,19,3,1,1,1,0,0,13,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,14,low and right outside the strike zone,L,147,50,79,17,6,0,0,0,0,0,11,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,13,low and left outside the strike zone,L,147,44,96,6,1,1,0,0,0,0,3,1,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,9,lower right inside the strike zone,R,146,102,6,38,6,0,2,0,0,0,24,4,0,0,2,0,0
Truist Park,Atlanta Braves,Curveball,CU,13,low and left outside the strike zone,L,144,30,97,8,0,0,0,1,0,0,7,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,6,middle right inside the strike zone,R,144,111,1,32,12,2,1,0,0,0,13,1,0,0,3,0,0
Truist Park,Atlanta Braves,Sinker,SI,12,up and right outside the strike zone,L,139,42,83,14,2,1,0,0,0,0,10,1,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,11,up and left outside the strike zone,R,138,13,120,5,1,0,0,0,0,0,3,1,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,6,middle right inside the strike zone,L,136,101,0,35,11,1,0,2,0,0,20,0,0,0,1,0,0
Truist Park,Atlanta Braves,Curveball,CU,7,lower left inside the strike zone,R,132,97,2,33,8,2,0,1,0,0,19,1,0,0,1,0,1
Truist Park,Atlanta Braves,Curveball,CU,4,middle left inside the strike zone,R,131,94,0,37,13,1,0,2,0,0,19,1,0,0,1,0,0
Truist Park,Atlanta Braves,Slider,SL,8,lower middle inside the strike zone,L,130,86,0,44,8,3,0,0,0,1,28,2,0,0,1,0,1
Truist Park,Atlanta Braves,Changeup,CH,7,lower left inside the strike zone,R,128,80,2,46,8,1,1,2,0,0,32,0,0,0,1,0,1
Truist Park,Atlanta Braves,Cutter,FC,5,middle middle inside the strike zone,R,124,76,0,48,10,4,0,5,1,2,25,1,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,9,lower right inside the strike zone,R,124,98,6,20,2,0,0,0,0,0,13,2,0,0,2,0,1
Truist Park,Atlanta Braves,Cutter,FC,11,up and left outside the strike zone,R,123,22,96,5,1,0,0,0,1,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,12,up and right outside the strike zone,R,122,36,71,15,5,2,0,0,0,0,7,0,0,0,1,0,0
Truist Park,Atlanta Braves,Cutter,FC,6,middle right inside the strike zone,R,122,82,1,39,4,0,1,1,0,0,30,0,1,0,1,0,1
Truist Park,Atlanta Braves,Changeup,CH,8,lower middle inside the strike zone,R,122,79,1,42,8,2,0,3,1,0,23,2,0,0,2,0,1
Truist Park,Atlanta Braves,Sinker,SI,13,low and left outside the strike zone,L,120,17,99,4,1,0,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,12,up and right outside the strike zone,L,118,22,83,13,2,0,0,0,0,0,10,0,1,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,11,up and left outside the strike zone,R,115,18,83,14,3,3,0,0,0,0,6,0,0,0,2,0,0
Truist Park,Atlanta Braves,Cutter,FC,9,lower right inside the strike zone,R,114,80,7,27,6,1,1,1,1,0,15,1,0,0,1,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,7,lower left inside the strike zone,L,114,85,4,25,4,2,1,3,0,0,10,3,0,0,1,0,1
Truist Park,Atlanta Braves,Curveball,CU,5,middle middle inside the strike zone,R,111,80,0,31,8,2,1,5,0,0,13,0,0,0,2,0,0
Truist Park,Atlanta Braves,Sinker,SI,2,upper middle inside the strike zone,R,109,76,5,28,3,2,1,2,0,0,17,2,0,1,0,0,0
Truist Park,Atlanta Braves,Slider,SL,7,lower left inside the strike zone,R,109,78,6,25,6,0,0,2,2,0,12,1,0,0,1,0,1
Truist Park,Atlanta Braves,Four-seam fastball,FF,8,lower middle inside the strike zone,L,107,65,1,41,13,4,0,2,0,0,19,2,0,0,1,0,0
Truist Park,Atlanta Braves,Slider,SL,4,middle left inside the strike zone,R,105,68,0,37,9,5,0,2,1,0,18,1,0,0,1,0,0
